OID_,Dist_ID,Dist_name,Div_ID,Divi_name,Dist_name_old,Dist_rimes,Dist_rimes_id,Div_rimes,Div_rimes_id,Shape_Length,Shape_Area,bfl_meat_em,bfl_milk_em,_buffelo_em,n_cattle_em,_chicken_em,_ckn_egg_em,ckn_meat_em,ctl_meat_em,ctl_milk_em,ion_goat_em,on_sheep_em,on_total_em
41,65,Narail,40,Khulna,Narail,Narail,4065,Khulna,BD40,249023.3827,1183161739,3.268496,0.865894,4.13439,271.863708,10.31857,5.465617,4.852952,193.595794,78.267921,93.958824,0.480382,380.755859
42,67,Narayanganj,30,Dhaka,Narayanganj,Narayanganj,3067,Dhaka,BD30,205007.9868,842075458.8,2.801033,0.721155,3.522189,34.835262,54.981334,40.00827,14.973063,24.910377,9.924885,125.139511,2.181093,220.659393
43,68,Narsingdi,30,Dhaka,Narsingdi,Narsingdi,3068,Dhaka,BD30,248267.4775,1405931668,8.694541,2.17882,10.873362,328.406921,24.39134,17.754451,6.636889,235.163864,93.243041,194.005035,2.101844,559.778503
44,69,Natore,50,Rajshahi,Natore,Natore,5069,Rajshahi,BD50,403356.12,2306209169,15.469675,3.846861,19.316535,303.300018,10.598458,6.570881,4.027576,218.064682,85.235336,328.236572,1.84521,663.296813
45,70,Chapainawabganj,50,Rajshahi,Chapai Nawabganj,Nawabganj,5070,Rajshahi,BD50,387477.4553,2053471102,31.472925,8.198355,39.671279,247.122009,12.484288,9.072037,3.41225,176.360183,70.761817,424.76654,1.905194,725.94934
46,72,Netrakona,45,Mymensingh,Netrakona,Netrakona,4572,Mymensingh,BD45,510431.2919,3423884576,5.706933,1.46223,7.169163,282.49884,8.274025,4.746091,3.527934,202.192779,80.306076,79.348159,0.784711,378.07492
47,73,Nilphamari,55,Rangpur,Nilphamari,Nilphamari,5573,Rangpur,BD55,300557.7463,1975886132,11.731866,3.02331,14.755177,469.348144,9.642965,7.031213,2.611751,335.681121,133.667037,301.844024,1.586193,797.176513
48,75,Noakhali,20,Chattogram,Noakhali,Noakhali,2075,Chittagong,BD20,593800.755,3719108071,0,0,0,89.261619,23.94314,10.186075,13.757063,64.360603,24.901014,101.492088,0,214.696853
49,76,Pabna,50,Rajshahi,Pabna,Pabna,5076,Rajshahi,BD50,357998.3606,2878916397,16.712213,4.311814,21.024028,349.534912,15.518693,8.039225,7.479468,249.869598,99.665313,462.597473,1.852477,850.527587
50,77,Panchagarh,55,Rangpur,Panchagarh,Panchagarh,5577,Rangpur,BD55,413106.3966,1749500539,7.677189,1.994981,9.672171,329.524475,8.384576,5.913073,2.471504,235.260711,94.263755,236.522171,1.204883,585.308288
51,78,Patuakhali,10,Barishal,Patuakhali,Patuakhali,1078,Barisal,BD10,449158.1408,3704846945,61.370777,16.280378,77.651153,227.606353,26.820035,11.527251,15.292786,162.024887,65.581474,129.692276,1.585231,463.355072
52,79,Pirojpur,10,Barishal,Pirojpur,Pirojpur,1079,Barisal,BD10,348251.1569,1499245677,13.710287,3.656028,17.366315,180.508041,11.808347,7.455208,4.353139,128.413696,52.094341,61.543464,0.505081,271.731262
53,81,Rajshahi,50,Rajshahi,Rajshahi,Rajshahi,5081,Rajshahi,BD50,407654.7888,2957559627,15.928986,4.123935,20.052923,397.613281,20.474647,12.970144,7.504504,283.998291,113.614997,518.053649,1.783593,957.978088
54,82,Rajbari,30,Dhaka,Rajbari,Rajbari,3082,Dhaka,BD30,237802.8176,1365815015,10.27396,2.658699,12.932659,301.635955,8.81759,5.312229,3.50536,215.527343,86.108596,254.571441,0.838608,578.796264
55,84,Rangamati,20,Chattogram,Rangamati,Rangamati,2084,Chittagong,BD20,759254.3306,6809609195,1.27434,0.340053,1.614394,27.221818,1.969213,0.946898,1.022314,19.363084,7.858734,19.611833,0,50.50893
56,85,Rangpur,55,Rangpur,Rangpur,Rangpur,5585,Rangpur,BD55,416036.3179,2897254768,12.487284,3.123806,15.611091,606.344787,19.039487,9.034486,10.005002,434.219055,172.125762,380.06723,5.988432,1027.051147
57,86,Shariatpur,30,Dhaka,Shariatpur,Shariatpur,3086,Dhaka,BD30,210414.8525,1497873925,10.482957,2.790288,13.273245,230.916595,16.775423,9.242998,7.532425,164.323074,66.593521,102.614952,0.864785,364.445007
58,87,Satkhira,40,Khulna,Satkhira,Satkhira,4087,Khulna,BD40,560192.0432,4592899744,3.603148,0.940018,4.543166,52.818531,5.668803,3.250137,2.418666,37.696094,15.122434,158.730209,3.129949,224.890655
59,88,Sirajganj,50,Rajshahi,Sirajganj,Sirajganj,5088,Rajshahi,BD50,420326.1325,3021175804,10.543227,2.705322,13.248549,427.866577,15.549544,8.780332,6.76921,306.179046,121.687492,188.437744,8.225553,653.327941
60,89,Sherpur,45,Mymensingh,Sherpur,Sherpur,4589,Mymensingh,BD45,218694.122,1624742203,9.140537,2.362161,11.502698,361.462158,15.798962,11.505244,4.293718,258.354675,103.107482,154.692947,1.390595,544.847412
61,90,Sunamganj,60,Sylhet,Sunamganj,Sunamganj,6090,Sylhet,BD60,547947.9052,4510967193,3.827344,0.946164,4.773509,251.032165,3.240864,2.225353,1.01551,180.65158,70.380584,9.866886,2.559692,271.473114
62,91,Sylhet,60,Sylhet,Sylhet,Sylhet,6091,Sylhet,BD60,488873.2905,4179664580,12.01444,3.173808,15.188248,229.160476,9.615843,7.009875,2.605968,163.260818,65.899658,47.39994,1.930243,303.294769
63,93,Tangail,30,Dhaka,Tangail,Tangail,3093,Dhaka,BD30,426973.4967,4075212340,7.341778,1.891595,9.233374,364.272491,10.728602,7.807354,2.921248,260.486602,103.785903,177.673431,5.358634,567.26654
64,94,Thakurgaon,55,Rangpur,Thakurgaon,Thakurgaon,5594,Rangpur,BD55,384200.7274,2255138745,21.40731,5.37777,26.785081,599.988098,16.067241,7.597504,8.469738,430.482147,169.505981,485.28952,1.180108,1129.310058
